,index,Species,Year,Location,Nesting Success Rate
57,310,Tree Swallow,2019,PA,73.50
58,313,Tree Swallow,2019,SD,42.70
59,314,Tree Swallow,2019,TN,89.60
60,316,Tree Swallow,2019,VA,75.00
61,318,Tree Swallow,2019,WA,63.10
62,319,Tree Swallow,2019,WI,61.40
63,321,Violet-green Swallow,2019,CA,82.60
64,322,Violet-green Swallow,2019,CO,93.80
65,324,Violet-green Swallow,2019,WA,92.90
66,325,Tree/Violet-green Swallow,2019,CO,100.00
67,333,Barn Swallow,2019,MA,92.50
68,336,Barn Swallow,2019,NC,100.00
69,342,Barn Swallow,2019,TX,92.30
70,351,White-breasted Nuthatch,2019,CA,100.00
71,359,Brown-headed Nuthatch,2019,NC,80.00
72,367,House Wren,2019,CA,78.60
73,368,House Wren,2019,CO,87.90
74,371,House Wren,2019,DE,87.70
75,376,House Wren,2019,IN,42.90
76,379,House Wren,2019,MA,81.50
77,380,House Wren,2019,MD,51.40
78,382,House Wren,2019,MI,83.20
79,383,House Wren,2019,MN,83.30
80,385,House Wren,2019,NC,60.00
81,386,House Wren,2019,NJ,66.70
82,387,House Wren,2019,NY,63.60
83,388,House Wren,2019,OH,66.30
84,390,House Wren,2019,PA,79.20
85,394,House Wren,2019,VA,81.30
86,395,House Wren,2019,WA,75.00
87,396,House Wren,2019,WI,90.90
88,402,Carolina Wren,2019,GA,87.50
89,409,Carolina Wren,2019,MD,53.80
90,413,Carolina Wren,2019,NC,76.90
91,417,Carolina Wren,2019,PA,72.70
92,418,Carolina Wren,2019,SC,78.90
93,419,Carolina Wren,2019,TN,65.40
94,420,Carolina Wren,2019,TX,79.70
95,421,Carolina Wren,2019,VA,66.70
96,423,Bewick's Wren,2019,NM,100.00
97,425,Bewick's Wren,2019,TX,79.70
98,433,European Starling,2019,OH,0.00
99,434,European Starling,2019,PA,0.00
100,472,Eastern Bluebird,2019,,71.40
101,473,Eastern Bluebird,2019,QC,77.80
102,475,Eastern Bluebird,2019,AL,80.00
103,476,Eastern Bluebird,2019,AR,88.20
104,478,Eastern Bluebird,2019,DE,71.60
105,479,Eastern Bluebird,2019,FL,78.30
106,480,Eastern Bluebird,2019,GA,87.00
107,482,Eastern Bluebird,2019,IL,59.30
108,483,Eastern Bluebird,2019,IN,78.70
109,484,Eastern Bluebird,2019,KS,68.80
110,485,Eastern Bluebird,2019,KY,71.20
111,486,Eastern Bluebird,2019,LA,77.30
112,487,Eastern Bluebird,2019,MA,75.50
113,488,Eastern Bluebird,2019,MD,71.60
114,490,Eastern Bluebird,2019,MI,63.70
115,491,Eastern Bluebird,2019,MN,85.70
116,492,Eastern Bluebird,2019,MO,76.90
117,493,Eastern Bluebird,2019,MS,90.70
118,494,Eastern Bluebird,2019,NC,74.40
119,495,Eastern Bluebird,2019,NH,40.00
120,496,Eastern Bluebird,2019,NJ,84.00
121,497,Eastern Bluebird,2019,NY,62.60
122,498,Eastern Bluebird,2019,OH,73.20
123,499,Eastern Bluebird,2019,OK,92.90
124,500,Eastern Bluebird,2019,PA,72.40
125,501,Eastern Bluebird,2019,SC,81.20
126,503,Eastern Bluebird,2019,TN,77.40
127,504,Eastern Bluebird,2019,TX,74.30
128,505,Eastern Bluebird,2019,VA,74.10
129,507,Eastern Bluebird,2019,WI,76.00
130,509,Western Bluebird,2019,CA,82.70
131,510,Western Bluebird,2019,CO,71.00
132,513,Western Bluebird,2019,OR,75.90
133,515,Western Bluebird,2019,WA,80.00
134,516,Mountain Bluebird,2019,AB,91.70
135,517,Mountain Bluebird,2019,BC,74.10
136,519,Mountain Bluebird,2019,CO,69.10
137,520,Mountain Bluebird,2019,ID,85.70
138,545,American Robin,2019,MI,64.70
139,553,American Robin,2019,NY,66.70
140,557,American Robin,2019,PA,70.40
141,564,American Robin,2019,WI,64.70
142,580,House Sparrow,2019,MA,20.30
143,582,House Sparrow,2019,MI,0.00
144,586,House Sparrow,2019,NY,6.70
145,587,House Sparrow,2019,OH,1.10
146,590,House Sparrow,2019,TN,0.00
147,593,House Sparrow,2019,WI,0.00
148,637,Dark-eyed Junco,2019,CA,69.70
149,706,Wood Duck,2017,IL,82.40
150,716,Wood Duck,2017,SC,68.20
151,718,Wood Duck,2017,VA,75.00
152,719,Wood Duck,2017,WI,67.90
153,733,Hooded Merganser,2017,WI,75.60
154,825,Barn Owl,2017,CA,85.70
155,854,American Kestrel,2017,CA,93.30
156,866,American Kestrel,2017,VT,100.00
157,889,Eastern Phoebe,2017,ME,75.00
158,895,Eastern Phoebe,2017,NY,78.90
159,897,Eastern Phoebe,2017,PA,61.50
160,899,Eastern Phoebe,2017,TX,94.10
161,908,Ash-throated Flycatcher,2017,CA,78.30
162,912,Ash-throated Flycatcher,2017,TX,84.00
163,944,Carolina Chickadee,2017,DE,28.60
164,945,Carolina Chickadee,2017,FL,76.50
165,946,Carolina Chickadee,2017,GA,76.00
166,949,Carolina Chickadee,2017,MD,62.50
167,951,Carolina Chickadee,2017,NC,52.70
168,953,Carolina Chickadee,2017,OH,74.30
169,954,Carolina Chickadee,2017,PA,50.00
170,955,Carolina Chickadee,2017,SC,72.80
171,956,Carolina Chickadee,2017,TN,64.30
172,957,Carolina Chickadee,2017,TX,72.90
173,958,Carolina Chickadee,2017,VA,77.80
174,972,Black-capped Chickadee,2017,MA,62.00
175,975,Black-capped Chickadee,2017,MI,55.60
176,982,Black-capped Chickadee,2017,NY,68.60
177,985,Black-capped Chickadee,2017,PA,53.30
178,992,Black-capped Chickadee,2017,WI,52.20
179,996,Mountain Chickadee,2017,CO,66.70
180,1003,Chestnut-backed Chickadee,2017,CA,90.70
181,1005,Oak Titmouse,2017,CA,88.90
182,1021,Tufted Titmouse,2017,SC,70.80
183,1023,Tufted Titmouse,2017,TX,81.80
184,1025,Black-crested Titmouse,2017,TX,100.00
185,1026,Purple Martin,2017,MA,92.90
186,1029,Purple Martin,2017,OH,84.80
187,1030,Purple Martin,2017,PA,64.20
188,1033,Purple Martin,2017,TX,66.70
189,1034,Purple Martin,2017,VA,50.00
190,1036,Tree Swallow,2017,AB,84.30
191,1037,Tree Swallow,2017,BC,84.50
192,1039,Tree Swallow,2017,QC,63.60
193,1041,Tree Swallow,2017,CA,78.50
194,1042,Tree Swallow,2017,CO,81.00
195,1043,Tree Swallow,2017,CT,71.40
196,1044,Tree Swallow,2017,DE,79.40
197,1048,Tree Swallow,2017,IL,39.60
198,1049,Tree Swallow,2017,IN,65.40
199,1051,Tree Swallow,2017,KY,77.10
200,1052,Tree Swallow,2017,MA,74.10
201,1053,Tree Swallow,2017,MD,75.90
202,1054,Tree Swallow,2017,ME,66.70
203,1055,Tree Swallow,2017,MI,75.40
204,1056,Tree Swallow,2017,MN,78.60
205,1057,Tree Swallow,2017,MO,82.60
206,1059,Tree Swallow,2017,NC,65.00
207,1061,Tree Swallow,2017,NH,94.70
208,1062,Tree Swallow,2017,NJ,72.20
209,1063,Tree Swallow,2017,NY,70.40
210,1064,Tree Swallow,2017,OH,80.60
211,1065,Tree Swallow,2017,OR,78.10
212,1066,Tree Swallow,2017,PA,76.70
213,1068,Tree Swallow,2017,SD,61.10
214,1069,Tree Swallow,2017,TN,63.00
215,1070,Tree Swallow,2017,UT,87.50
216,1071,Tree Swallow,2017,VA,65.70
217,1074,Tree Swallow,2017,WI,73.30
218,1075,Tree Swallow,2017,WV,78.90
219,1076,Tree Swallow,2017,WY,69.20
220,1077,Violet-green Swallow,2017,CA,88.90
221,1078,Violet-green Swallow,2017,CO,96.30
222,1079,Violet-green Swallow,2017,OR,83.30
223,1091,Barn Swallow,2017,MA,97.40
224,1103,Barn Swallow,2017,TX,75.00
225,1123,Brown-headed Nuthatch,2017,SC,73.30
226,1135,House Wren,2017,CO,92.60
227,1137,House Wren,2017,DE,85.80
228,1138,House Wren,2017,GA,100.00
229,1141,House Wren,2017,IL,85.50
230,1142,House Wren,2017,IN,41.20
231,1144,House Wren,2017,KY,70.00
232,1145,House Wren,2017,MA,76.90
233,1146,House Wren,2017,MD,84.90
234,1147,House Wren,2017,MI,69.00
235,1148,House Wren,2017,MN,75.00
236,1151,House Wren,2017,NC,68.80
237,1153,House Wren,2017,NJ,81.10
238,1154,House Wren,2017,NY,59.30
239,1155,House Wren,2017,OH,70.50
240,1156,House Wren,2017,PA,75.10
241,1159,House Wren,2017,TN,71.40
242,1161,House Wren,2017,VA,75.90
243,1163,House Wren,2017,WA,91.70
244,1164,House Wren,2017,WI,82.70
245,1165,House Wren,2017,WV,57.10
246,1171,Carolina Wren,2017,FL,84.60
247,1172,Carolina Wren,2017,GA,69.20
248,1179,Carolina Wren,2017,MD,45.50
249,1182,Carolina Wren,2017,NC,83.30
250,1187,Carolina Wren,2017,SC,81.10
251,1188,Carolina Wren,2017,TN,70.00
252,1189,Carolina Wren,2017,TX,83.10
253,1191,Bewick's Wren,2017,CA,83.30
254,1192,Bewick's Wren,2017,NM,100.00
255,1193,Bewick's Wren,2017,TX,82.50
256,1195,American Dipper,2017,CO,86.70
257,1203,European Starling,2017,OH,0.00
258,1204,European Starling,2017,PA,0.00
259,1212,Gray Catbird,2017,NY,26.70
260,1244,Eastern Bluebird,2017,QC,76.90
261,1247,Eastern Bluebird,2017,AR,75.90
262,1248,Eastern Bluebird,2017,CT,53.30
263,1249,Eastern Bluebird,2017,DE,80.60
264,1250,Eastern Bluebird,2017,FL,77.20
265,1251,Eastern Bluebird,2017,GA,79.90
266,1252,Eastern Bluebird,2017,IA,75.00
267,1253,Eastern Bluebird,2017,IL,67.20
268,1254,Eastern Bluebird,2017,IN,81.30
269,1255,Eastern Bluebird,2017,KS,76.70
270,1256,Eastern Bluebird,2017,KY,80.70
271,1257,Eastern Bluebird,2017,LA,58.30
272,1258,Eastern Bluebird,2017,MA,68.90
273,1259,Eastern Bluebird,2017,MD,77.10
274,1261,Eastern Bluebird,2017,MI,63.90
275,1262,Eastern Bluebird,2017,MN,73.30
276,1263,Eastern Bluebird,2017,MO,80.40
277,1264,Eastern Bluebird,2017,MS,73.70
278,1265,Eastern Bluebird,2017,NC,68.50
279,1267,Eastern Bluebird,2017,NH,80.80
280,1268,Eastern Bluebird,2017,NJ,72.70
281,1269,Eastern Bluebird,2017,NY,65.50
282,1270,Eastern Bluebird,2017,OH,77.40
283,1271,Eastern Bluebird,2017,OK,72.50
284,1272,Eastern Bluebird,2017,PA,70.30
285,1274,Eastern Bluebird,2017,SC,81.50
286,1276,Eastern Bluebird,2017,TN,65.50
287,1277,Eastern Bluebird,2017,TX,76.50
288,1278,Eastern Bluebird,2017,VA,75.50
289,1280,Eastern Bluebird,2017,WI,82.00
290,1281,Eastern Bluebird,2017,WV,64.10
291,1282,Western Bluebird,2017,CA,81.90
292,1283,Western Bluebird,2017,CO,72.20
293,1289,Mountain Bluebird,2017,AB,84.60
294,1290,Mountain Bluebird,2017,BC,82.00
295,1291,Mountain Bluebird,2017,CO,71.80
296,1294,Mountain Bluebird,2017,UT,80.80
297,1305,American Robin,2017,CT,41.70
298,1316,American Robin,2017,MN,63.60
299,1325,American Robin,2017,NY,56.50
300,1326,American Robin,2017,OH,62.50
301,1328,American Robin,2017,PA,65.20
302,1335,American Robin,2017,VT,73.30
303,1337,American Robin,2017,WI,48.10
304,1347,House Sparrow,2017,DE,47.60
305,1349,House Sparrow,2017,IL,13.00
306,1352,House Sparrow,2017,MA,23.70
307,1354,House Sparrow,2017,MI,0.00
308,1357,House Sparrow,2017,ND,0.00
309,1360,House Sparrow,2017,NY,19.50
310,1361,House Sparrow,2017,OH,2.90
311,1363,House Sparrow,2017,PA,10.50
312,1365,House Sparrow,2017,TN,0.00
313,1368,House Sparrow,2017,WI,0.00
314,1383,House Finch,2017,NC,45.50
315,1439,Red-winged Blackbird,2017,NY,16.70
316,1448,Prothonotary Warbler,2017,MD,92.30
317,1500,Wood Duck,2018,IL,76.90
318,1511,Wood Duck,2018,SC,88.20
319,1514,Wood Duck,2018,WI,67.00
320,1528,Hooded Merganser,2018,WI,55.00
321,1541,Mourning Dove,2018,AZ,53.30
322,1542,Mourning Dove,2018,CA,71.40
323,1622,Red-tailed Hawk,2018,NY,100.00
324,1623,Red-tailed Hawk,2018,WA,73.30
325,1625,Barn Owl,2018,CA,78.60
326,1640,Great Horned Owl,2018,WA,100.00
327,1660,American Kestrel,2018,CA,90.90
328,1673,American Kestrel,2018,VT,96.90
329,1699,Eastern Phoebe,2018,TN,81.80
330,1700,Eastern Phoebe,2018,TX,66.70
331,1706,Ash-throated Flycatcher,2018,CA,67.70
332,1709,Ash-throated Flycatcher,2018,TX,73.00
333,1731,Carolina Chickadee,2018,DE,63.60
334,1732,Carolina Chickadee,2018,FL,62.50
335,1733,Carolina Chickadee,2018,GA,73.70
336,1736,Carolina Chickadee,2018,MD,55.00
337,1739,Carolina Chickadee,2018,NC,48.90
338,1741,Carolina Chickadee,2018,OH,61.30
339,1742,Carolina Chickadee,2018,PA,50.00
340,1743,Carolina Chickadee,2018,SC,80.80
341,1744,Carolina Chickadee,2018,TN,53.80
342,1745,Carolina Chickadee,2018,TX,85.20
343,1746,Carolina Chickadee,2018,VA,82.10
344,1755,Black-capped Chickadee,2018,MA,86.40
345,1758,Black-capped Chickadee,2018,MI,39.40
346,1765,Black-capped Chickadee,2018,NY,37.90
347,1769,Black-capped Chickadee,2018,PA,63.60
348,1773,Black-capped Chickadee,2018,WA,72.70
349,1774,Black-capped Chickadee,2018,WI,66.70
350,1782,Mountain Chickadee,2018,CO,65.00
351,1789,Chestnut-backed Chickadee,2018,CA,82.60
352,1791,Oak Titmouse,2018,CA,77.40
353,1793,Juniper Titmouse,2018,NM,100.00
354,1808,Tufted Titmouse,2018,TX,77.80
355,1810,Black-crested Titmouse,2018,TX,98.00
356,1814,Purple Martin,2018,KS,100.00
357,1817,Purple Martin,2018,MD,86.70
358,1819,Purple Martin,2018,OH,84.50
359,1820,Purple Martin,2018,PA,31.10
360,1823,Purple Martin,2018,VA,66.70
361,1825,Tree Swallow,2018,AB,90.60
362,1826,Tree Swallow,2018,BC,72.30
363,1829,Tree Swallow,2018,QC,76.50
364,1830,Tree Swallow,2018,AK,85.30
365,1831,Tree Swallow,2018,CA,77.80
366,1832,Tree Swallow,2018,CO,86.10
367,1833,Tree Swallow,2018,CT,55.60
368,1834,Tree Swallow,2018,DE,82.50
369,1837,Tree Swallow,2018,ID,71.40
370,1838,Tree Swallow,2018,IL,72.00
371,1839,Tree Swallow,2018,IN,80.60
372,1840,Tree Swallow,2018,KS,60.00
373,1841,Tree Swallow,2018,KY,88.60
374,1842,Tree Swallow,2018,MA,72.80
375,1843,Tree Swallow,2018,MD,72.80
376,1845,Tree Swallow,2018,MI,70.90
377,1846,Tree Swallow,2018,MN,68.20
378,1847,Tree Swallow,2018,MO,97.00
379,1850,Tree Swallow,2018,NH,81.10
380,1851,Tree Swallow,2018,NJ,75.30
381,1852,Tree Swallow,2018,NY,66.10
382,1853,Tree Swallow,2018,OH,83.40
383,1854,Tree Swallow,2018,OR,62.10
384,1855,Tree Swallow,2018,PA,78.20
385,1858,Tree Swallow,2018,SD,89.80
386,1859,Tree Swallow,2018,TN,73.70
387,1860,Tree Swallow,2018,UT,95.20
388,1861,Tree Swallow,2018,VA,77.00
389,1863,Tree Swallow,2018,WA,67.30
390,1864,Tree Swallow,2018,WI,84.10
391,1865,Tree Swallow,2018,WV,58.80
392,1866,Tree Swallow,2018,WY,84.60
393,1867,Violet-green Swallow,2018,CA,87.90
394,1868,Violet-green Swallow,2018,CO,97.10
395,1871,Violet-green Swallow,2018,WA,76.90
396,1875,Barn Swallow,2018,ON,69.20
397,1880,Barn Swallow,2018,MA,87.80
398,1885,Barn Swallow,2018,NC,92.90
399,1890,Barn Swallow,2018,TX,58.30
400,1916,Brown-headed Nuthatch,2018,SC,93.80
401,1921,House Wren,2018,CA,76.50
402,1922,House Wren,2018,CO,84.40
403,1924,House Wren,2018,DE,72.00
404,1928,House Wren,2018,IL,90.20
405,1929,House Wren,2018,IN,65.00
406,1931,House Wren,2018,KY,54.20
407,1932,House Wren,2018,MA,84.70
408,1933,House Wren,2018,MD,56.80
409,1934,House Wren,2018,MI,66.10
410,1935,House Wren,2018,MN,70.40
411,1939,House Wren,2018,NJ,74.40
412,1940,House Wren,2018,NY,68.00
413,1941,House Wren,2018,OH,63.80
414,1944,House Wren,2018,PA,73.10
415,1949,House Wren,2018,VA,81.30
416,1951,House Wren,2018,WA,83.30
417,1952,House Wren,2018,WI,80.00
418,1967,Carolina Wren,2018,MD,75.00
419,1974,Carolina Wren,2018,OH,58.30
420,1977,Carolina Wren,2018,SC,74.30
421,1978,Carolina Wren,2018,TN,84.20
422,1979,Carolina Wren,2018,TX,77.50
423,1980,Carolina Wren,2018,VA,76.90
424,1981,Bewick's Wren,2018,CA,75.00
425,1982,Bewick's Wren,2018,NM,100.00
426,1984,Bewick's Wren,2018,TX,80.60
427,1992,European Starling,2018,PA,0.00
428,2026,Eastern Bluebird,2018,QC,60.00
429,2028,Eastern Bluebird,2018,AR,86.20
430,2030,Eastern Bluebird,2018,CT,57.10
431,2031,Eastern Bluebird,2018,DE,76.40
432,2032,Eastern Bluebird,2018,FL,80.10
433,2033,Eastern Bluebird,2018,GA,87.10
434,2035,Eastern Bluebird,2018,IL,81.00
435,2036,Eastern Bluebird,2018,IN,82.10
436,2037,Eastern Bluebird,2018,KS,71.50
437,2038,Eastern Bluebird,2018,KY,85.00
438,2039,Eastern Bluebird,2018,LA,81.30
439,2040,Eastern Bluebird,2018,MA,78.70
440,2041,Eastern Bluebird,2018,MD,69.60
441,2043,Eastern Bluebird,2018,MI,68.90
442,2044,Eastern Bluebird,2018,MN,52.80
443,2045,Eastern Bluebird,2018,MO,82.70
444,2046,Eastern Bluebird,2018,MS,80.40
445,2047,Eastern Bluebird,2018,NC,74.30
446,2048,Eastern Bluebird,2018,NH,85.30
447,2049,Eastern Bluebird,2018,NJ,75.20
448,2050,Eastern Bluebird,2018,NY,70.00
449,2051,Eastern Bluebird,2018,OH,81.30
450,2052,Eastern Bluebird,2018,OK,83.80
451,2053,Eastern Bluebird,2018,PA,71.40
452,2055,Eastern Bluebird,2018,SC,77.20
453,2057,Eastern Bluebird,2018,TN,68.20
454,2058,Eastern Bluebird,2018,TX,69.90
455,2059,Eastern Bluebird,2018,VA,80.70
456,2061,Eastern Bluebird,2018,WI,85.20
457,2062,Eastern Bluebird,2018,WV,61.10
458,2063,Western Bluebird,2018,CA,85.20
459,2064,Western Bluebird,2018,CO,82.20
460,2068,Western Bluebird,2018,OR,74.50
461,2069,Western Bluebird,2018,WA,66.30
462,2070,Mountain Bluebird,2018,AB,94.40
463,2071,Mountain Bluebird,2018,BC,73.80
464,2073,Mountain Bluebird,2018,CO,85.30
465,2074,Mountain Bluebird,2018,ID,83.30
466,2088,American Robin,2018,CT,27.30
467,2107,American Robin,2018,NY,79.40
468,2108,American Robin,2018,OH,53.80
469,2111,American Robin,2018,PA,45.20
470,2117,American Robin,2018,WA,64.70
471,2128,House Sparrow,2018,DE,28.60
472,2133,House Sparrow,2018,MA,17.90
473,2134,House Sparrow,2018,MD,0.00
474,2135,House Sparrow,2018,MI,23.30
475,2139,House Sparrow,2018,NY,21.70
476,2140,House Sparrow,2018,OH,1.30
477,2141,House Sparrow,2018,PA,20.00
478,2145,House Sparrow,2018,VA,0.00
479,2148,House Sparrow,2018,WI,0.00
480,2196,Dark-eyed Junco,2018,CA,52.90
481,2226,Prothonotary Warbler,2018,OH,71.40
482,2263,Wood Duck,2016,IL,81.80
483,2264,Wood Duck,2016,IN,73.30
484,2270,Wood Duck,2016,SC,100.00
485,2273,Wood Duck,2016,VA,92.30
486,2274,Wood Duck,2016,WI,57.50
487,2282,Hooded Merganser,2016,WI,43.30
488,2295,Mourning Dove,2016,CA,41.70
489,2356,Barn Owl,2016,CA,85.30
490,2378,American Kestrel,2016,CA,80.00
491,2388,American Kestrel,2016,VT,100.00
492,2390,American Kestrel,2016,WI,94.10
493,2421,Eastern Phoebe,2016,TX,85.70
494,2429,Ash-throated Flycatcher,2016,CA,86.40
495,2433,Ash-throated Flycatcher,2016,TX,69.20
496,2443,Gray Vireo,2016,NM,37.50
497,2462,Carolina Chickadee,2016,DE,29.40
498,2464,Carolina Chickadee,2016,GA,72.00
499,2468,Carolina Chickadee,2016,MD,64.70
500,2471,Carolina Chickadee,2016,NC,55.30
501,2473,Carolina Chickadee,2016,OH,59.50
502,2475,Carolina Chickadee,2016,PA,57.10
503,2476,Carolina Chickadee,2016,SC,81.60
504,2477,Carolina Chickadee,2016,TN,65.90
505,2478,Carolina Chickadee,2016,TX,83.70
506,2479,Carolina Chickadee,2016,VA,85.20
507,2490,Black-capped Chickadee,2016,MA,69.10
508,2493,Black-capped Chickadee,2016,MI,56.70
509,2499,Black-capped Chickadee,2016,NY,65.50
510,2508,Black-capped Chickadee,2016,WI,47.80
511,2516,Mountain Chickadee,2016,CO,81.30
512,2520,Chestnut-backed Chickadee,2016,CA,78.00
513,2522,Oak Titmouse,2016,CA,82.10
514,2536,Tufted Titmouse,2016,SC,73.70
515,2538,Tufted Titmouse,2016,TX,80.00
516,2540,Black-crested Titmouse,2016,TX,73.80
517,2542,Purple Martin,2016,KS,93.80
518,2548,Purple Martin,2016,OH,92.10
519,2549,Purple Martin,2016,PA,27.30
520,2551,Purple Martin,2016,TX,100.00
521,2554,Tree Swallow,2016,AB,94.70
522,2559,Tree Swallow,2016,CA,81.40
523,2560,Tree Swallow,2016,CO,85.70
524,2562,Tree Swallow,2016,DE,74.30
525,2564,Tree Swallow,2016,ID,94.70
526,2565,Tree Swallow,2016,IL,70.20
527,2566,Tree Swallow,2016,IN,92.90
528,2567,Tree Swallow,2016,KS,78.90
529,2568,Tree Swallow,2016,KY,84.80
530,2569,Tree Swallow,2016,MA,74.70
531,2570,Tree Swallow,2016,MD,67.90
532,2571,Tree Swallow,2016,ME,81.80
533,2572,Tree Swallow,2016,MI,75.50
534,2573,Tree Swallow,2016,MN,100.00
535,2574,Tree Swallow,2016,MO,82.60
536,2577,Tree Swallow,2016,ND,77.80
537,2579,Tree Swallow,2016,NH,59.30
538,2580,Tree Swallow,2016,NJ,75.50
539,2581,Tree Swallow,2016,NY,69.40
540,2582,Tree Swallow,2016,OH,82.40
541,2583,Tree Swallow,2016,OR,82.40
542,2584,Tree Swallow,2016,PA,72.70
543,2586,Tree Swallow,2016,SD,93.50
544,2587,Tree Swallow,2016,TN,71.10
545,2588,Tree Swallow,2016,UT,95.80
546,2589,Tree Swallow,2016,VA,75.00
547,2592,Tree Swallow,2016,WI,87.10
548,2593,Tree Swallow,2016,WV,51.20
549,2594,Violet-green Swallow,2016,CA,79.40
550,2595,Violet-green Swallow,2016,CO,89.70
551,2609,Barn Swallow,2016,MA,92.70
552,2617,Barn Swallow,2016,TX,83.30
553,2637,Brown-headed Nuthatch,2016,NC,85.70
554,2638,Brown-headed Nuthatch,2016,SC,91.30
555,2642,House Wren,2016,CA,66.70
556,2643,House Wren,2016,CO,81.60
557,2645,House Wren,2016,DE,76.30
558,2648,House Wren,2016,ID,93.80
559,2649,House Wren,2016,IL,70.90
560,2650,House Wren,2016,IN,38.90
561,2652,House Wren,2016,KY,61.50
562,2653,House Wren,2016,MA,79.30
563,2654,House Wren,2016,MD,69.80
564,2655,House Wren,2016,MI,77.30
565,2658,House Wren,2016,NC,33.30
566,2659,House Wren,2016,ND,58.30
567,2661,House Wren,2016,NJ,85.70
568,2662,House Wren,2016,NY,65.70
569,2663,House Wren,2016,OH,68.70
570,2666,House Wren,2016,PA,70.70
571,2669,House Wren,2016,TN,72.70
572,2671,House Wren,2016,VA,78.60
573,2674,House Wren,2016,WI,78.00
574,2675,House Wren,2016,WV,57.90
575,2685,Carolina Wren,2016,MD,62.50
576,2694,Carolina Wren,2016,SC,73.30
577,2695,Carolina Wren,2016,TN,61.50
578,2696,Carolina Wren,2016,TX,86.70
579,2699,Bewick's Wren,2016,CA,91.70
580,2704,Bewick's Wren,2016,TX,67.80
581,2706,American Dipper,2016,CO,76.90
582,2712,European Starling,2016,PA,0.00
583,2746,Eastern Bluebird,2016,AL,72.00
584,2749,Eastern Bluebird,2016,DE,75.60
585,2750,Eastern Bluebird,2016,FL,81.20
586,2751,Eastern Bluebird,2016,GA,81.00
587,2753,Eastern Bluebird,2016,IL,67.40
588,2754,Eastern Bluebird,2016,IN,83.30
589,2755,Eastern Bluebird,2016,KS,78.40
590,2756,Eastern Bluebird,2016,KY,76.10
591,2757,Eastern Bluebird,2016,LA,63.60
592,2758,Eastern Bluebird,2016,MA,71.60
593,2759,Eastern Bluebird,2016,MD,75.50
594,2761,Eastern Bluebird,2016,MI,71.60
595,2762,Eastern Bluebird,2016,MN,71.40
596,2763,Eastern Bluebird,2016,MO,87.80
597,2764,Eastern Bluebird,2016,MS,25.00
598,2765,Eastern Bluebird,2016,NC,78.10
599,2768,Eastern Bluebird,2016,NH,73.70
600,2769,Eastern Bluebird,2016,NJ,83.90
601,2770,Eastern Bluebird,2016,NY,60.90
602,2771,Eastern Bluebird,2016,OH,82.70
